repo_full_name,package_name,osv_id,severity_class,severity_raw,published,fix_version,fix_date,time_to_fix_days,is_fixed,aliases,duration_days,severity_missing
tensorflow/tensorflow,tensorflow,GHSA-r35g-4525-29fq,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,2021-05-21T14:23:58Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.27606542863426,1,BIT-tensorflow-2021-29555;CVE-2021-29555;PYSEC-2021-192;PYSEC-2021-483;PYSEC-2021-681,25.27606542863426,0
tensorflow/tensorflow,tensorflow,GHSA-r4c4-5fpq-56wg,high,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:H,2021-08-25T14:42:20Z,2.3.4,2021-08-10 21:51:35.142457+00:00,-14.701908073414351,1,BIT-tensorflow-2021-37664;CVE-2021-37664;PYSEC-2021-286;PYSEC-2021-577;PYSEC-2021-775,-14.701908073414351,0
tensorflow/tensorflow,tensorflow,GHSA-r4pj-74mg-8868,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,2021-05-21T14:21:47Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.277581632337963,1,BIT-tensorflow-2021-29524;CVE-2021-29524;PYSEC-2021-161;PYSEC-2021-452;PYSEC-2021-650,25.277581632337963,0
tensorflow/tensorflow,tensorflow,GHSA-r6jx-9g48-2r5r,critical,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,2021-08-25T14:41:12Z,2.3.4,2021-08-10 21:51:35.142457+00:00,-14.701121036377316,1,BIT-tensorflow-2021-37678;CVE-2021-37678;PYSEC-2021-300;PYSEC-2021-591;PYSEC-2021-789,-14.701121036377316,0
tensorflow/tensorflow,tensorflow,GHSA-r6pg-pjwc-j585,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,2021-05-21T14:25:11Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.275220521226853,1,BIT-tensorflow-2021-29565;CVE-2021-29565;PYSEC-2021-202;PYSEC-2021-493;PYSEC-2021-691,25.275220521226853,0
tensorflow/tensorflow,tensorflow,GHSA-rc9w-5c64-9vqq,medium,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2022-05-24T22:13:23Z,2.6.4,2022-05-16 18:35:54.612163+00:00,-8.151023007372684,1,BIT-tensorflow-2022-29206;CVE-2022-29206,-8.151023007372684,0
tensorflow/tensorflow,tensorflow,GHSA-rcf8-g8jv-vg6p,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2023-03-24T21:56:53Z,2.11.1,2023-03-20 19:24:21.820332+00:00,-4.105916431342593,1,BIT-tensorflow-2023-25669;CVE-2023-25669,-4.105916431342593,0
tensorflow/tensorflow,tensorflow,GHSA-rf3h-xgv5-2q39,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,2021-05-21T14:28:12Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.273125613819445,1,BIT-tensorflow-2021-29602;CVE-2021-29602;PYSEC-2021-239;PYSEC-2021-530;PYSEC-2021-728,25.273125613819445,0
tensorflow/tensorflow,tensorflow,GHSA-rg3m-hqc5-344v,high,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,2021-11-10T18:45:55Z,2.6.1,2021-11-01 20:30:07.568333+00:00,-8.927632310960648,1,BIT-tensorflow-2021-41224;CVE-2021-41224;PYSEC-2021-416;PYSEC-2021-633;PYSEC-2021-831,-8.927632310960648,0
tensorflow/tensorflow,tensorflow,GHSA-rgvq-pcvf-hx75,medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:H,2021-05-21T14:28:27Z,2.1.4,2021-06-15 21:01:30.053034+00:00,25.272952002708333,1,BIT-tensorflow-2021-29608;CVE-2021-29608;PYSEC-2021-245;PYSEC-2021-536;PYSEC-2021-734,25.272952002708333,0
