repo_full_name,quarter,critical,high,medium,unknown,low,vuln_total,vuln_severe
django/django,2020-Q1,2.0,0.0,0.0,2.0,0,4.0,2.0
django/django,2020-Q2,1.0,2.0,0.0,2.0,0,5.0,3.0
django/django,2020-Q3,0.0,0.0,0.0,2.0,0,2.0,0.0
django/django,2021-Q1,2.0,1.0,0.0,1.0,0,4.0,3.0
django/django,2021-Q2,2.0,3.0,0.0,5.0,0,10.0,5.0
django/django,2021-Q3,1.0,0.0,0.0,1.0,0,2.0,1.0
django/django,2021-Q4,0.0,1.0,0.0,1.0,0,2.0,1.0
django/django,2022-Q1,3.0,2.0,0.0,5.0,0,10.0,5.0
django/django,2022-Q2,32.0,15.0,1.0,6.0,0,54.0,47.0
django/django,2022-Q3,2.0,0.0,0.0,2.0,0,4.0,2.0
django/django,2022-Q4,1.0,0.0,0.0,1.0,0,2.0,1.0
django/django,2023-Q1,2.0,0.0,0.0,2.0,0,4.0,2.0
django/django,2023-Q2,1.0,0.0,0.0,1.0,0,2.0,1.0
django/django,2023-Q3,1.0,0.0,0.0,1.0,0,2.0,1.0
django/django,2023-Q4,2.0,1.0,0.0,3.0,0,6.0,3.0
django/django,2024-Q1,1.0,1.0,0.0,2.0,0,4.0,2.0
django/django,2024-Q3,4.0,4.0,0.0,8.0,0,16.0,8.0
django/django,2024-Q4,2.0,2.0,0.0,3.0,0,7.0,4.0
django/django,2025-Q1,1.0,1.0,0.0,2.0,0,4.0,2.0
django/django,2025-Q2,2.0,1.0,0.0,3.0,0,6.0,3.0
django/django,2025-Q3,0.0,1.0,0.0,0.0,0,1.0,1.0
django/django,2025-Q4,2.0,4.0,0.0,0.0,0,6.0,6.0
django/django,2026-Q1,2.0,2.0,0.0,0.0,0,4.0,4.0
encode/django-rest-framework,2020-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
encode/django-rest-framework,2021-Q1,0.0,1.0,0.0,0.0,0,1.0,1.0
encode/django-rest-framework,2024-Q2,0.0,1.0,0.0,0.0,0,1.0,1.0
encode/httpx,2022-Q2,1.0,0.0,0.0,1.0,0,2.0,1.0
fabric/fabric,2022-Q2,0.0,0.0,0.0,1.0,0,1.0,0.0
fastapi/fastapi,2021-Q2,1.0,0.0,0.0,1.0,0,2.0,1.0
fastapi/fastapi,2024-Q1,1.0,0.0,0.0,0.0,0,1.0,1.0
getsentry/sentry-python,2023-Q1,0.0,1.0,0.0,0.0,0,1.0,1.0
getsentry/sentry-python,2024-Q3,0.0,0.0,1.0,0.0,0,1.0,0.0
gevent/gevent,2023-Q3,1.0,0.0,0.0,1.0,0,2.0,1.0
grpc/grpc,2017-Q2,0.0,0.0,0.0,1.0,0,1.0,0.0
grpc/grpc,2023-Q3,4.0,1.0,0.0,0.0,0,5.0,5.0
html5lib/html5lib-python,2017-Q1,0.0,0.0,0.0,2.0,0,2.0,0.0
html5lib/html5lib-python,2022-Q2,0.0,2.0,0.0,0.0,0,2.0,2.0
http://github.com/sanic-org/sanic,2017-Q4,0.0,0.0,0.0,1.0,0,1.0,0.0
http://github.com/sanic-org/sanic,2022-Q1,0.0,0.0,0.0,1.0,0,1.0,0.0
http://github.com/sanic-org/sanic,2022-Q2,1.0,0.0,0.0,0.0,0,1.0,1.0
http://github.com/sanic-org/sanic,2022-Q3,1.0,0.0,0.0,0.0,0,1.0,1.0
huggingface/transformers,2023-Q2,0.0,0.0,2.0,0.0,0,2.0,0.0
huggingface/transformers,2023-Q4,2.0,2.0,0.0,0.0,0,4.0,4.0
huggingface/transformers,2024-Q2,0.0,1.0,0.0,0.0,0,1.0,1.0
huggingface/transformers,2024-Q4,6.0,0.0,0.0,0.0,0,6.0,6.0
huggingface/transformers,2025-Q1,0.0,1.0,0.0,0.0,0,1.0,1.0
huggingface/transformers,2025-Q2,1.0,2.0,0.0,0.0,0,3.0,3.0
huggingface/transformers,2025-Q3,0.0,8.0,1.0,0.0,0,9.0,8.0
ijl/orjson,2024-Q1,1.0,0.0,0.0,1.0,0,2.0,1.0
ijl/orjson,2026-Q1,0.0,1.0,0.0,0.0,0,1.0,1.0
ipython/ipython,2014-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
ipython/ipython,2015-Q3,0.0,0.0,0.0,2.0,0,2.0,0.0
ipython/ipython,2017-Q3,0.0,0.0,0.0,3.0,0,3.0,0.0
ipython/ipython,2022-Q1,0.0,1.0,0.0,1.0,0,2.0,1.0
ipython/ipython,2022-Q2,3.0,3.0,0.0,0.0,0,6.0,6.0
ipython/ipython,2023-Q1,0.0,0.0,1.0,0.0,0,1.0,0.0
jpadilla/pyjwt,2017-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
jpadilla/pyjwt,2022-Q2,2.0,0.0,0.0,1.0,0,3.0,2.0
jpadilla/pyjwt,2024-Q4,0.0,0.0,1.0,0.0,0,1.0,0.0
jupyter/notebook,2015-Q3,0.0,0.0,0.0,2.0,0,2.0,0.0
jupyter/notebook,2018-Q1,0.0,0.0,0.0,1.0,0,1.0,0.0
jupyter/notebook,2018-Q3,0.0,1.0,0.0,0.0,0,1.0,1.0
jupyter/notebook,2018-Q4,0.0,2.0,0.0,2.0,0,4.0,2.0
jupyter/notebook,2019-Q1,0.0,0.0,0.0,1.0,0,1.0,0.0
jupyter/notebook,2019-Q2,0.0,2.0,0.0,1.0,0,3.0,2.0
jupyter/notebook,2019-Q4,0.0,1.0,0.0,1.0,0,2.0,1.0
jupyter/notebook,2020-Q4,0.0,1.0,0.0,1.0,0,2.0,1.0
jupyter/notebook,2021-Q3,2.0,0.0,0.0,1.0,0,3.0,2.0
jupyter/notebook,2022-Q1,0.0,0.0,0.0,1.0,0,1.0,0.0
jupyter/notebook,2022-Q2,2.0,3.0,0.0,1.0,0,6.0,5.0
jupyter/notebook,2024-Q1,0.0,2.0,0.0,0.0,0,2.0,2.0
jupyter/notebook,2024-Q3,0.0,1.0,0.0,0.0,0,1.0,1.0
jupyterlab/jupyterlab,2021-Q3,1.0,0.0,0.0,1.0,0,2.0,1.0
jupyterlab/jupyterlab,2024-Q1,0.0,2.0,0.0,0.0,0,2.0,2.0
jupyterlab/jupyterlab,2024-Q3,0.0,1.0,0.0,0.0,0,1.0,1.0
jupyterlab/jupyterlab,2025-Q3,0.0,1.0,0.0,0.0,0,1.0,1.0
keras-team/keras,2024-Q2,1.0,0.0,0.0,0.0,0,1.0,1.0
keras-team/keras,2025-Q1,2.0,0.0,0.0,0.0,0,2.0,2.0
keras-team/keras,2025-Q3,2.0,1.0,0.0,0.0,0,3.0,3.0
keras-team/keras,2025-Q4,2.0,1.0,0.0,0.0,0,3.0,3.0
keras-team/keras,2026-Q1,2.0,0.0,0.0,0.0,0,2.0,2.0
kjd/idna,2024-Q2,0.0,1.0,0.0,0.0,0,1.0,1.0
kjd/idna,2024-Q3,1.0,0.0,0.0,0.0,0,1.0,1.0
lxml/lxml,2014-Q2,0.0,0.0,0.0,1.0,0,1.0,0.0
lxml/lxml,2018-Q4,0.0,0.0,0.0,1.0,0,1.0,0.0
lxml/lxml,2020-Q4,0.0,0.0,0.0,1.0,0,1.0,0.0
lxml/lxml,2021-Q1,0.0,2.0,0.0,1.0,0,3.0,2.0
lxml/lxml,2021-Q4,1.0,0.0,0.0,0.0,0,1.0,1.0
lxml/lxml,2022-Q2,0.0,2.0,0.0,0.0,0,2.0,2.0
lxml/lxml,2022-Q3,0.0,1.0,0.0,1.0,0,2.0,1.0
marshmallow-code/marshmallow,2018-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
marshmallow-code/marshmallow,2018-Q4,0.0,1.0,0.0,0.0,0,1.0,1.0
marshmallow-code/marshmallow,2025-Q4,0.0,1.0,0.0,0.0,0,1.0,1.0
microsoft/LightGBM,2024-Q4,2.0,0.0,0.0,0.0,0,2.0,2.0
mitmproxy/pdoc,2024-Q2,1.0,0.0,0.0,0.0,0,1.0,1.0
mkdocs/mkdocs,2021-Q4,2.0,0.0,0.0,0.0,0,2.0,2.0
mongodb/mongo-python-driver,2013-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
mongodb/mongo-python-driver,2022-Q2,0.0,1.0,0.0,0.0,0,1.0,1.0
mongodb/mongo-python-driver,2024-Q2,0.0,1.0,0.0,0.0,0,1.0,1.0
nltk/nltk,2019-Q3,1.0,0.0,0.0,1.0,0,2.0,1.0
nltk/nltk,2021-Q3,1.0,0.0,0.0,1.0,0,2.0,1.0
nltk/nltk,2021-Q4,0.0,0.0,0.0,1.0,0,1.0,0.0
nltk/nltk,2022-Q1,2.0,0.0,0.0,1.0,0,3.0,2.0
nltk/nltk,2024-Q2,1.0,0.0,0.0,1.0,0,2.0,1.0
numpy/numpy,2017-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
numpy/numpy,2018-Q1,0.0,0.0,0.0,2.0,0,2.0,0.0
numpy/numpy,2019-Q1,0.0,0.0,0.0,1.0,0,1.0,0.0
numpy/numpy,2021-Q4,0.0,1.0,0.0,4.0,0,5.0,1.0
numpy/numpy,2022-Q1,1.0,1.0,1.0,0.0,0,3.0,2.0
numpy/numpy,2022-Q2,2.0,0.0,2.0,0.0,0,4.0,2.0
opencv/opencv-python,2021-Q4,22.0,5.0,3.0,0.0,0,30.0,27.0
opencv/opencv-python,2023-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
opencv/opencv-python,2024-Q3,1.0,0.0,0.0,0.0,0,1.0,1.0
pallets/flask,2018-Q3,1.0,0.0,0.0,1.0,0,2.0,1.0
pallets/flask,2019-Q3,1.0,0.0,0.0,1.0,0,2.0,1.0
pallets/flask,2023-Q2,1.0,0.0,0.0,1.0,0,2.0,1.0
pallets/flask,2025-Q2,0.0,0.0,1.0,0.0,0,1.0,0.0
pallets/jinja,2014-Q2,0.0,0.0,0.0,2.0,0,2.0,0.0
pallets/jinja,2019-Q2,2.0,0.0,0.0,2.0,0,4.0,2.0
pallets/jinja,2021-Q1,0.0,1.0,0.0,1.0,0,2.0,1.0
pallets/jinja,2022-Q2,1.0,1.0,0.0,0.0,0,2.0,2.0
pallets/jinja,2024-Q1,0.0,1.0,0.0,0.0,0,1.0,1.0
pallets/jinja,2024-Q2,0.0,1.0,0.0,0.0,0,1.0,1.0
pallets/jinja,2024-Q4,1.0,1.0,0.0,0.0,0,2.0,2.0
pallets/jinja,2025-Q1,1.0,0.0,0.0,0.0,0,1.0,1.0
pallets/quart,2024-Q4,1.0,0.0,0.0,0.0,0,1.0,1.0
pallets/werkzeug,2017-Q4,0.0,0.0,0.0,1.0,0,1.0,0.0
pallets/werkzeug,2019-Q3,1.0,0.0,0.0,1.0,0,2.0,1.0
pallets/werkzeug,2020-Q4,0.0,0.0,0.0,1.0,0,1.0,0.0
pallets/werkzeug,2021-Q2,0.0,1.0,0.0,0.0,0,1.0,1.0
pallets/werkzeug,2022-Q2,1.0,1.0,0.0,1.0,0,3.0,2.0
pallets/werkzeug,2023-Q1,1.0,0.0,1.0,2.0,0,4.0,1.0
pallets/werkzeug,2023-Q4,1.0,1.0,0.0,0.0,0,2.0,2.0
pallets/werkzeug,2024-Q2,1.0,0.0,0.0,0.0,0,1.0,1.0
pallets/werkzeug,2024-Q4,1.0,1.0,0.0,0.0,0,2.0,2.0
pallets/werkzeug,2025-Q4,0.0,1.0,0.0,0.0,0,1.0,1.0
pallets/werkzeug,2026-Q1,0.0,1.0,0.0,0.0,0,1.0,1.0
pandas-dev/pandas,2020-Q2,0.0,0.0,0.0,1.0,0,1.0,0.0
